YEAR,MONTH,BEGIN_TIME,END_TIME,STATE,EVENT_TYPE,CZ_NAME,TOR_F_SCALE,INJURIES_DIRECT,DEATHS_DIRECT
2006,03,1739,1741,ALABAMA,Tornado,WALKER,F1,0,0
2005,04,205,206,ALABAMA,Tornado,WALKER,F1,0,0
2003,11,1207,1214,ALABAMA,Tornado,WALKER,F1,0,0
2003,05,1111,1115,ALABAMA,Tornado,WALKER,F1,0,0
2002,11,2034,2103,ALABAMA,Tornado,WALKER,F3,40,7
2002,11,2138,2147,ALABAMA,Tornado,WALKER,F1,0,0
2002,11,1910,1931,ALABAMA,Tornado,WALKER,F3,20,3
2001,11,1141,1144,ALABAMA,Tornado,WALKER,F3,0,0
1998,04,1929,1931,ALABAMA,Tornado,WALKER,F0,0,0
1998,04,1946,1950,ALABAMA,Tornado,WALKER,F1,0,0
1998,04,1936,1941,ALABAMA,Tornado,WALKER,F0,0,0
1995,04,645,645,ALABAMA,Tornado,WALKER,F1,0,0
