YEAR,MONTH,BEGIN_TIME,END_TIME,STATE,EVENT_TYPE,CZ_NAME,TOR_F_SCALE,INJURIES_DIRECT,DEATHS_DIRECT
2025,3,1525,1555,ALABAMA,Tornado,WALKER,2,0,0
2022,11,28,30,ALABAMA,Tornado,WALKER,0,0,0
2020,4,1548,1549,ALABAMA,Tornado,WALKER,1,0,0
2020,4,1614,1615,ALABAMA,Tornado,WALKER,1,0,0
2020,4,1912,1916,ALABAMA,Tornado,WALKER,1,3,0
2020,4,1604,1616,ALABAMA,Tornado,WALKER,1,0,0
2019,2,1843,1845,ALABAMA,Tornado,WALKER,0,0,0
2014,4,1940,1943,ALABAMA,Tornado,WALKER,1,0,0
2013,4,1345,1351,ALABAMA,Tornado,WALKER,1,0,0
2013,1,542,546,ALABAMA,Tornado,WALKER,0,0,0
2011,4,418,436,ALABAMA,Tornado,WALKER,3,20,0
2011,4,1535,1605,ALABAMA,Tornado,WALKER,4,40,9
2010,4,1927,1935,ALABAMA,Tornado,WALKER,1,0,0
2010,4,2101,2137,ALABAMA,Tornado,WALKER,3,0,0
2009,5,820,822,ALABAMA,Tornado,WALKER,1,0,0
2009,5,824,825,ALABAMA,Tornado,WALKER,0,0,0
2009,5,811,813,ALABAMA,Tornado,WALKER,0,0,0
2008,12,1632,1632,ALABAMA,Tornado,WALKER,0,0,0
2008,5,2337,2341,ALABAMA,Tornado,WALKER,0,0,0
2008,5,1300,1305,ALABAMA,Tornado,WALKER,1,0,0
2008,12,43,45,ALABAMA,Tornado,WALKER,1,0,0
2008,5,1216,1225,ALABAMA,Tornado,WALKER,1,0,0
2008,5,2327,2339,ALABAMA,Tornado,WALKER,1,0,0
2008,2,312,319,ALABAMA,Tornado,WALKER,2,4,0
2008,10,430,431,ALABAMA,Tornado,WALKER,0,0,0
2008,12,101,107,ALABAMA,Tornado,WALKER,2,0,0
2006,3,1739,1741,ALABAMA,Tornado,WALKER,1,0,0
2005,4,205,206,ALABAMA,Tornado,WALKER,1,0,0
2003,5,1111,1115,ALABAMA,Tornado,WALKER,1,0,0
2003,11,1207,1214,ALABAMA,Tornado,WALKER,1,0,0
2002,11,2138,2147,ALABAMA,Tornado,WALKER,1,0,0
2002,11,2034,2103,ALABAMA,Tornado,WALKER,3,40,7
2002,11,1910,1931,ALABAMA,Tornado,WALKER,3,20,3
2001,11,1141,1144,ALABAMA,Tornado,WALKER,3,0,0
1998,4,1936,1941,ALABAMA,Tornado,WALKER,0,0,0
1998,4,1946,1950,ALABAMA,Tornado,WALKER,1,0,0
1998,4,1929,1931,ALABAMA,Tornado,WALKER,0,0,0
1995,4,645,645,ALABAMA,Tornado,WALKER,1,0,0
