YEAR,MONTH,BEGIN_TIME,END_TIME,STATE,EVENT_TYPE,CZ_NAME,TOR_F_SCALE,INJURIES_DIRECT,DEATHS_DIRECT
2025,03,1525,1555,ALABAMA,Tornado,WALKER,EF2,0,0
2022,11,28,30,ALABAMA,Tornado,WALKER,EF0,0,0
2020,04,1548,1549,ALABAMA,Tornado,WALKER,EF1,0,0
2020,04,1614,1615,ALABAMA,Tornado,WALKER,EF1,0,0
2020,04,1912,1916,ALABAMA,Tornado,WALKER,EF1,3,0
2020,04,1604,1616,ALABAMA,Tornado,WALKER,EF1,0,0
2019,02,1843,1845,ALABAMA,Tornado,WALKER,EF0,0,0
2014,04,1940,1943,ALABAMA,Tornado,WALKER,EF1,0,0
2013,04,1345,1351,ALABAMA,Tornado,WALKER,EF1,0,0
2013,01,542,546,ALABAMA,Tornado,WALKER,EF0,0,0
2011,04,1535,1605,ALABAMA,Tornado,WALKER,EF4,40,9
2011,04,418,436,ALABAMA,Tornado,WALKER,EF3,20,0
2010,04,2101,2137,ALABAMA,Tornado,WALKER,EF3,0,0
2010,04,1927,1935,ALABAMA,Tornado,WALKER,EF1,0,0
2009,05,824,825,ALABAMA,Tornado,WALKER,EF0,0,0
2009,05,811,813,ALABAMA,Tornado,WALKER,EF0,0,0
2009,05,820,822,ALABAMA,Tornado,WALKER,EF1,0,0
2008,12,101,107,ALABAMA,Tornado,WALKER,EF2,0,0
2008,12,43,45,ALABAMA,Tornado,WALKER,EF1,0,0
2008,12,1632,1632,ALABAMA,Tornado,WALKER,EF0,0,0
2008,10,430,431,ALABAMA,Tornado,WALKER,EF0,0,0
2008,05,1216,1225,ALABAMA,Tornado,WALKER,EF1,0,0
2008,05,2337,2341,ALABAMA,Tornado,WALKER,EF0,0,0
2008,05,1300,1305,ALABAMA,Tornado,WALKER,EF1,0,0
2008,05,2327,2339,ALABAMA,Tornado,WALKER,EF1,0,0
2008,02,312,319,ALABAMA,Tornado,WALKER,EF2,4,0
